pattern,n,operation,structure,time_us
Sorted Ascending,600,Single Insert,Treap,0.047
Sorted Ascending,700,Single Insert,Treap,0.045
Sorted Ascending,800,Single Insert,Treap,0.068
Sorted Ascending,900,Single Insert,Treap,0.04
Sorted Ascending,1000,Single Insert,Treap,0.038
Sorted Ascending,1500,Single Insert,Treap,0.05
Sorted Ascending,2000,Single Insert,Treap,0.063
Sorted Ascending,2500,Single Insert,Treap,0.045
Sorted Ascending,3000,Single Insert,Treap,0.052
Sorted Ascending,3500,Single Insert,Treap,0.068
Sorted Ascending,4000,Single Insert,Treap,0.043
Sorted Ascending,4500,Single Insert,Treap,0.057
Sorted Ascending,5000,Single Insert,Treap,0.086
Sorted Ascending,6000,Single Insert,Treap,0.055
Sorted Ascending,7000,Single Insert,Treap,0.039
Sorted Ascending,8000,Single Insert,Treap,0.047
Sorted Ascending,9000,Single Insert,Treap,0.053
Sorted Ascending,10000,Single Insert,Treap,0.05
Sorted Ascending,100,Single Insert,AVLTreeMap,0.038
Sorted Ascending,200,Single Insert,AVLTreeMap,0.042
Sorted Ascending,300,Single Insert,AVLTreeMap,0.046
Sorted Ascending,400,Single Insert,AVLTreeMap,0.045
Sorted Ascending,500,Single Insert,AVLTreeMap,0.046
Sorted Ascending,600,Single Insert,AVLTreeMap,0.05
Sorted Ascending,700,Single Insert,AVLTreeMap,0.055
Sorted Ascending,800,Single Insert,AVLTreeMap,0.051
Sorted Ascending,900,Single Insert,AVLTreeMap,0.05
Sorted Ascending,1000,Single Insert,AVLTreeMap,0.054
Sorted Ascending,1500,Single Insert,AVLTreeMap,0.055
Sorted Ascending,2000,Single Insert,AVLTreeMap,0.052
Sorted Ascending,2500,Single Insert,AVLTreeMap,0.057
Sorted Ascending,3000,Single Insert,AVLTreeMap,0.072
Sorted Ascending,3500,Single Insert,AVLTreeMap,0.158
Sorted Ascending,4000,Single Insert,AVLTreeMap,0.054
Sorted Ascending,4500,Single Insert,AVLTreeMap,0.058
Sorted Ascending,5000,Single Insert,AVLTreeMap,0.056
Sorted Ascending,6000,Single Insert,AVLTreeMap,0.06
Sorted Ascending,7000,Single Insert,AVLTreeMap,0.064
Sorted Ascending,8000,Single Insert,AVLTreeMap,0.063
Sorted Ascending,9000,Single Insert,AVLTreeMap,0.072
Sorted Ascending,10000,Single Insert,AVLTreeMap,0.059
Sorted Ascending,100,Single Insert,TreeMap,0.028
Sorted Ascending,200,Single Insert,TreeMap,0.034
Sorted Ascending,300,Single Insert,TreeMap,0.037
Sorted Ascending,400,Single Insert,TreeMap,0.04
Sorted Ascending,500,Single Insert,TreeMap,0.039
Sorted Ascending,600,Single Insert,TreeMap,0.043
Sorted Ascending,700,Single Insert,TreeMap,0.045
Sorted Ascending,800,Single Insert,TreeMap,0.047
Sorted Ascending,900,Single Insert,TreeMap,0.044
Sorted Ascending,1000,Single Insert,TreeMap,0.046
Sorted Ascending,1500,Single Insert,TreeMap,0.058
Sorted Ascending,2000,Single Insert,TreeMap,0.057
Sorted Ascending,2500,Single Insert,TreeMap,0.056
Sorted Ascending,3000,Single Insert,TreeMap,0.061
Sorted Ascending,3500,Single Insert,TreeMap,0.056
Sorted Ascending,4000,Single Insert,TreeMap,0.055
Sorted Ascending,4500,Single Insert,TreeMap,0.06
Sorted Ascending,5000,Single Insert,TreeMap,0.059
Sorted Ascending,6000,Single Insert,TreeMap,0.064
Sorted Ascending,7000,Single Insert,TreeMap,0.065
Sorted Ascending,8000,Single Insert,TreeMap,0.068
Sorted Ascending,9000,Single Insert,TreeMap,0.066
Sorted Ascending,10000,Single Insert,TreeMap,0.074
Sorted Descending,100,Single Insert,Treap,0.04
Sorted Descending,200,Single Insert,Treap,0.03
Sorted Descending,300,Single Insert,Treap,0.026
Sorted Descending,400,Single Insert,Treap,0.036
Sorted Descending,500,Single Insert,Treap,0.036
Sorted Descending,600,Single Insert,Treap,0.038
Sorted Descending,700,Single Insert,Treap,0.047
Sorted Descending,800,Single Insert,Treap,0.035
Sorted Descending,900,Single Insert,Treap,0.049
Sorted Descending,1000,Single Insert,Treap,0.059
Sorted Descending,1500,Single Insert,Treap,0.06
Sorted Descending,2000,Single Insert,Treap,0.053
Sorted Descending,2500,Single Insert,Treap,0.033
Sorted Descending,3000,Single Insert,Treap,0.059
Sorted Descending,3500,Single Insert,Treap,0.051
Sorted Descending,4000,Single Insert,Treap,0.053
Sorted Descending,4500,Single Insert,Treap,0.032
Sorted Descending,5000,Single Insert,Treap,0.048
Sorted Descending,6000,Single Insert,Treap,0.05
Sorted Descending,7000,Single Insert,Treap,0.054
Sorted Descending,8000,Single Insert,Treap,0.056
Sorted Descending,9000,Single Insert,Treap,0.062
Sorted Descending,10000,Single Insert,Treap,0.045
Sorted Descending,100,Single Insert,AVLTreeMap,0.068
Sorted Descending,200,Single Insert,AVLTreeMap,0.079
Sorted Descending,300,Single Insert,AVLTreeMap,0.079
Sorted Descending,400,Single Insert,AVLTreeMap,0.091
Sorted Descending,500,Single Insert,AVLTreeMap,0.085
Sorted Descending,600,Single Insert,AVLTreeMap,0.086
Sorted Descending,700,Single Insert,AVLTreeMap,0.085
Sorted Descending,800,Single Insert,AVLTreeMap,0.096
Sorted Descending,900,Single Insert,AVLTreeMap,0.102
Sorted Descending,1000,Single Insert,AVLTreeMap,0.109
Sorted Descending,1500,Single Insert,AVLTreeMap,0.097
Sorted Descending,2000,Single Insert,AVLTreeMap,0.105
Sorted Descending,2500,Single Insert,AVLTreeMap,0.102
Sorted Descending,3000,Single Insert,AVLTreeMap,0.101
Sorted Descending,3500,Single Insert,AVLTreeMap,0.109
Sorted Descending,4000,Single Insert,AVLTreeMap,0.148
Sorted Descending,4500,Single Insert,AVLTreeMap,0.109
Sorted Descending,5000,Single Insert,AVLTreeMap,0.109
Sorted Descending,6000,Single Insert,AVLTreeMap,0.111
Sorted Descending,7000,Single Insert,AVLTreeMap,0.127
Sorted Descending,8000,Single Insert,AVLTreeMap,0.122
Sorted Descending,9000,Single Insert,AVLTreeMap,0.118
Sorted Descending,10000,Single Insert,AVLTreeMap,0.122
Sorted Descending,100,Single Insert,TreeMap,0.017
Sorted Descending,200,Single Insert,TreeMap,0.02
Sorted Descending,300,Single Insert,TreeMap,0.019
Sorted Descending,400,Single Insert,TreeMap,0.024
Sorted Descending,500,Single Insert,TreeMap,0.024
Sorted Descending,600,Single Insert,TreeMap,0.022
Sorted Descending,700,Single Insert,TreeMap,0.024
Sorted Descending,800,Single Insert,TreeMap,0.023
Sorted Descending,900,Single Insert,TreeMap,0.028
Sorted Descending,1000,Single Insert,TreeMap,0.026
Sorted Descending,1500,Single Insert,TreeMap,0.027
Sorted Descending,2000,Single Insert,TreeMap,0.027
Sorted Descending,2500,Single Insert,TreeMap,0.026
Sorted Descending,3000,Single Insert,TreeMap,0.029
Sorted Descending,3500,Single Insert,TreeMap,0.028
Sorted Descending,4000,Single Insert,TreeMap,0.102
Sorted Descending,4500,Single Insert,TreeMap,0.027
Sorted Descending,5000,Single Insert,TreeMap,0.03
Sorted Descending,6000,Single Insert,TreeMap,0.032
Sorted Descending,7000,Single Insert,TreeMap,0.034
Sorted Descending,8000,Single Insert,TreeMap,0.034
Sorted Descending,9000,Single Insert,TreeMap,0.035
Sorted Descending,10000,Single Insert,TreeMap,0.03
Partially Sorted,100,Single Insert,Treap,0.027
Partially Sorted,200,Single Insert,Treap,0.026
Partially Sorted,300,Single Insert,Treap,0.044
Partially Sorted,400,Single Insert,Treap,0.051
Partially Sorted,500,Single Insert,Treap,0.049
Partially Sorted,600,Single Insert,Treap,0.093
Partially Sorted,700,Single Insert,Treap,0.04
Partially Sorted,800,Single Insert,Treap,0.066
Partially Sorted,900,Single Insert,Treap,0.063
Partially Sorted,1000,Single Insert,Treap,0.054
Partially Sorted,1500,Single Insert,Treap,0.052
Partially Sorted,2000,Single Insert,Treap,0.061
Partially Sorted,2500,Single Insert,Treap,0.053
Partially Sorted,3000,Single Insert,Treap,0.093
Partially Sorted,3500,Single Insert,Treap,0.046
Partially Sorted,4000,Single Insert,Treap,0.059
Partially Sorted,4500,Single Insert,Treap,0.048
Partially Sorted,5000,Single Insert,Treap,0.047
Partially Sorted,6000,Single Insert,Treap,0.051
Partially Sorted,7000,Single Insert,Treap,0.044
Partially Sorted,8000,Single Insert,Treap,0.039
Partially Sorted,9000,Single Insert,Treap,0.049
Partially Sorted,10000,Single Insert,Treap,0.041
Partially Sorted,100,Single Insert,AVLTreeMap,0.048
Partially Sorted,200,Single Insert,AVLTreeMap,0.045
Partially Sorted,300,Single Insert,AVLTreeMap,0.057
Partially Sorted,400,Single Insert,AVLTreeMap,0.057
Partially Sorted,500,Single Insert,AVLTreeMap,0.057
Partially Sorted,600,Single Insert,AVLTreeMap,0.052
Partially Sorted,700,Single Insert,AVLTreeMap,0.049
Partially Sorted,800,Single Insert,AVLTreeMap,0.057
Partially Sorted,900,Single Insert,AVLTreeMap,0.051
Partially Sorted,1000,Single Insert,AVLTreeMap,0.059
Partially Sorted,1500,Single Insert,AVLTreeMap,0.056
Partially Sorted,2000,Single Insert,AVLTreeMap,0.059
Partially Sorted,2500,Single Insert,AVLTreeMap,0.059
Partially Sorted,3000,Single Insert,AVLTreeMap,0.07
Partially Sorted,3500,Single Insert,AVLTreeMap,0.079
Partially Sorted,4000,Single Insert,AVLTreeMap,0.061
Partially Sorted,4500,Single Insert,AVLTreeMap,0.059
Partially Sorted,5000,Single Insert,AVLTreeMap,0.069
Partially Sorted,6000,Single Insert,AVLTreeMap,0.064
Partially Sorted,7000,Single Insert,AVLTreeMap,0.085
Partially Sorted,8000,Single Insert,AVLTreeMap,0.077
Partially Sorted,9000,Single Insert,AVLTreeMap,0.073
Partially Sorted,10000,Single Insert,AVLTreeMap,0.069
Partially Sorted,100,Single Insert,TreeMap,0.023
Partially Sorted,200,Single Insert,TreeMap,0.028
Partially Sorted,300,Single Insert,TreeMap,0.032
Partially Sorted,400,Single Insert,TreeMap,0.033
Partially Sorted,500,Single Insert,TreeMap,0.029
Partially Sorted,600,Single Insert,TreeMap,0.034
Partially Sorted,700,Single Insert,TreeMap,0.036
Partially Sorted,800,Single Insert,TreeMap,0.038
Partially Sorted,900,Single Insert,TreeMap,0.037
Partially Sorted,1000,Single Insert,TreeMap,0.037
Partially Sorted,1500,Single Insert,TreeMap,0.039
Partially Sorted,2000,Single Insert,TreeMap,0.043
Partially Sorted,2500,Single Insert,TreeMap,0.051
